,$log(s_C)$,$log(δ_C)$,$log(p_0)$,est_$log(s_C)$,est_$log(δ_C)$,est_$log(p_0)$,ratio_$log(s_C)$,ratio_$log(δ_C)$,ratio_$log(p_0)$
349,-1.9418305158615112,-5.777730464935304,-7.745301723480224,-1.167417049407959,-6.141168117523193,-1.4408798217773438,-0.508837434795666,0.06100401876748841,-1.6818325159491467
350,-1.83606219291687,-3.050955295562744,-4.739203929901123,-1.8317598104476929,-3.049727439880371,-3.851128101348877,-0.0023460159399853967,-0.00040253058623058893,-0.20750305560697827
351,-1.08333420753479,-5.899535655975342,-4.712644577026367,-1.1182177066802979,-5.694889068603516,-5.7745208740234375,0.03169256984169749,-0.03530452746310181,0.20320605565034477
352,-1.831220269203186,-3.7709157466888423,-5.616217136383057,-1.8347249031066895,-3.7605843544006348,-2.8567891120910645,0.0019119953007700114,-0.0027435168637862575,-0.6759600237965887
353,-1.7668226957321167,-5.64423370361328,-3.1851024627685542,-1.1586250066757202,-5.985231399536133,-1.5714116096496582,-0.42194888335344494,0.058660560932819565,-0.706510129095164
354,-0.9715882539749144,-5.72666072845459,-4.939759254455566,-0.9701833724975586,-5.749659538269043,-4.980459213256836,-0.0014470102491310048,0.004008051373362884,0.008205502186281261
355,-1.99731719493866,-3.060504198074341,-4.569268226623535,-1.9155449867248535,-3.033081293106079,-1.2307696342468262,-0.04180270703044392,-0.009000641785927709,-1.3117133740156157
356,-1.9880868196487425,-4.226018905639648,-4.9614601135253915,-1.3201303482055664,-4.602027893066406,-1.4016389846801758,-0.4094422987727648,0.08523665983702876,-1.2640578199177057
357,-1.5593726634979248,-4.366415023803711,-3.86278247833252,-1.5739192962646484,-4.32341194152832,-3.535644054412842,0.009285274060936386,-0.009897419935059475,-0.08849229673489079
358,-0.9912736415863037,-5.656526565551758,-6.173469543457031,-0.9886614084243774,-5.668025970458984,-6.349286079406738,-0.0026387074440767807,0.0020308809240945597,0.0280813735627575
359,-1.124650478363037,-5.997431755065918,-6.310912609100342,-1.1336994171142578,-5.89268684387207,-6.126948356628418,0.008013804412677605,-0.017619272684008203,-0.02958349022344901
360,-1.19101881980896,-3.464725971221924,-4.823636054992676,-1.187571406364441,-3.472747802734375,-5.135382175445557,-0.002898705140960734,0.0023126098487718356,0.06262625428350661
361,-1.639656901359558,-3.321324110031128,-3.1494803428649902,-1.6380174160003662,-3.320490598678589,-3.7473554611206055,-0.0010003956080934754,-0.0002509890424439712,0.17381291212732394
362,-1.9928259849548335,-3.061427116394043,-5.140866756439209,-1.9209223985671997,-3.0438737869262695,-1.3316168785095215,-0.036748237702822435,-0.005750208912649795,-1.3508277929096144
363,-1.5846648216247559,-5.437563896179199,-7.062528610229492,-1.2501901388168335,-5.689733982086182,-1.8525447845458984,-0.2370772651600944,0.045332347847920514,-1.3382428943809428
364,-1.2803890705108643,-5.109542846679688,-6.962483406066895,-1.2857590913772583,-5.083203315734863,-4.5687408447265625,0.004185283441427087,-0.005168300898586126,-0.4212985812971276
365,-1.7251176834106443,-3.8240058422088623,-4.455817699432373,-1.7273029088974,-3.8154497146606445,-3.036986827850342,0.0012659093642575442,-0.0022399845282368163,-0.3833447416995664
366,-1.4500460624694824,-4.538135051727295,-5.4860639572143555,-1.453986406326294,-4.516139507293701,-3.789482593536377,0.00271370676276897,-0.004858608507890701,-0.3699815597885031
367,-0.8644146919250488,-4.589158535003662,-6.021157264709473,-0.8657510280609131,-4.578415870666504,-5.9334635734558105,0.00154474959960637,-0.0023436230302275596,-0.014671358536873968
368,-1.215639352798462,-3.4798772335052486,-6.99984073638916,-1.2126390933990479,-3.4873859882354736,-5.653599262237549,-0.0024711012287980177,0.0021554396319875143,-0.21359501695185737
369,-0.8781619071960449,-4.193591117858888,-7.847164630889891,-0.8802164793014526,-4.18535852432251,-6.820017337799072,0.0023368952396135355,-0.0019650663954592145,-0.140290258979599
370,-1.9411059617996211,-4.401101112365723,-3.4602580070495605,-1.2552686929702759,-4.929574012756348,-1.6227507591247559,-0.43590824638896447,0.11339781474587657,-0.7572204460682208
371,-1.291771411895752,-3.35044527053833,-4.468289375305176,-1.2886319160461426,-3.357297897338867,-5.146723747253418,-0.002433338513191652,0.002043199631525805,0.1413547013619885
372,-1.4669251441955566,-3.395559072494507,-3.290860176086426,-1.4639697074890137,-3.4018449783325195,-3.7481918334960938,-0.002016747688207073,0.0018495024226421579,0.1301245636601358
