,line,$log_{10}(s_C)$,$log_{10}(s_C)$.1,$log_{10}(s_C)$.2
124,ltr,-0.7191318273544312,-4.989348888397217,-4.487448692321777
125,ltr,-0.7364344596862793,-4.848248958587647,-4.332652568817139
126,ltr,-0.7415822744369507,-4.787289619445801,-4.277838230133057
127,ltr,-0.7343214750289917,-4.842263698577881,-4.337348937988281
128,ltr,-0.7378420829772949,-4.845926284790039,-4.308569431304932
129,ltr,-0.7171623706817627,-4.988117218017578,-4.489258766174316
130,ltr,-0.7164936065673828,-4.971076965332031,-4.468485832214356
131,ltr,-0.7481971979141235,-4.756885528564453,-4.223517417907715
132,ltr,-0.7271268367767334,-4.905709266662598,-4.389437675476074
133,ltr,-0.7431451082229614,-4.780033111572266,-4.254138946533203
134,ltr,-0.755312442779541,-4.716609001159668,-4.180523872375488
135,ltr,-0.7452710866928101,-4.77646541595459,-4.240793228149414
136,ltr,-0.7397705316543579,-4.813029766082764,-4.314995765686035
137,ltr,-0.7092623710632324,-5.0370941162109375,-4.551205635070801
138,ltr,-0.7218707799911499,-4.966829299926758,-4.459564685821533
139,ltr,-0.7316490411758423,-4.895801544189453,-4.392609596252441
140,ltr,-0.7320336103439331,-4.900858879089356,-4.3790202140808105
141,ltr,-0.717994213104248,-4.970442771911621,-4.476202487945557
142,ltr,-0.7509998083114624,-4.748620986938477,-4.217963218688965
143,ltr,-0.7403956651687622,-4.805028915405273,-4.302258491516113
144,ltr,-0.7163394689559937,-4.983494758605957,-4.483749866485596
145,ltr,-0.7421501874923706,-4.788872718811035,-4.2619829177856445
146,ltr,-0.7441767454147339,-4.7774152755737305,-4.255728721618652
147,ltr,-0.75450599193573,-4.717157363891602,-4.1836652755737305
148,ltr,-0.7113639116287231,-5.02353048324585,-4.522976398468018
149,ltr,-0.7309004068374634,-4.885859489440918,-4.361283302307129
150,ltr,-0.7239489555358887,-4.948880195617676,-4.44971227645874
151,ltr,-0.7220414876937866,-4.949490547180176,-4.436776638031006
152,ltr,-0.7283197641372681,-4.894029140472412,-4.385735511779785
153,ltr,-0.7128516435623169,-5.010366439819336,-4.514462947845459
154,ltr,-0.720412015914917,-4.947697162628174,-4.458089351654053
155,ltr,-0.735278844833374,-4.833556175231934,-4.314509868621826
156,ltr,-0.7363169193267822,-4.844307899475098,-4.344976902008057
157,ltr,-0.7535103559494019,-4.718701362609863,-4.174639701843262
158,ltr,-0.7401796579360962,-4.836929321289063,-4.308291435241699
159,ltr,-0.7340452671051025,-4.839686393737793,-4.341790676116943
160,ltr,-0.7384696006774902,-4.838375568389893,-4.322066783905029
161,ltr,-0.7284054756164551,-4.901542663574219,-4.41010856628418
162,ltr,-0.7471420764923096,-4.772895812988281,-4.230938911437988
163,ltr,-0.7428205013275146,-4.823843479156494,-4.292448997497559
164,ltr,-0.725471019744873,-4.921036720275879,-4.407931804656982
165,ltr,-0.7405269145965576,-4.810664176940918,-4.303111553192139
166,ltr,-0.7384833097457886,-4.847367286682129,-4.3350934982299805
167,ltr,-0.7396819591522217,-4.801787853240967,-4.279566764831543
168,ltr,-0.7247507572174072,-4.933417320251465,-4.418954372406006
169,ltr,-0.7283836603164673,-4.891305923461914,-4.371640682220459
170,ltr,-0.741424560546875,-4.829808712005615,-4.294870853424072
171,ltr,-0.7402493953704834,-4.836021900177002,-4.316324710845947
172,ltr,-0.7337658405303955,-4.880570888519287,-4.3751420974731445
173,ltr,-0.7373108863830566,-4.847010612487793,-4.315585136413574
174,ltr,-0.7275046110153198,-4.888996124267578,-4.371001243591309
175,ltr,-0.7348734140396118,-4.837909698486328,-4.339357852935791
176,ltr,-0.7186391353607178,-4.964440822601318,-4.453394889831543
177,ltr,-0.7278412580490112,-4.912796974182129,-4.417178630828857
178,ltr,-0.7199051380157471,-4.959732532501221,-4.456878185272217
179,ltr,-0.7455157041549683,-4.788800239562988,-4.272196769714356
180,ltr,-0.7382386922836304,-4.842113018035889,-4.336338043212891
181,ltr,-0.724259614944458,-4.92412805557251,-4.407228469848633
182,ltr,-0.7137826681137085,-5.017187118530273,-4.521361351013184
183,ltr,-0.7399007081985474,-4.828164577484131,-4.311861515045166
184,ltr,-0.729388952255249,-4.881204605102539,-4.373761177062988
185,ltr,-0.7348108291625977,-4.877964973449707,-4.361260414123535
186,ltr,-0.7286924123764038,-4.8960466384887695,-4.406731605529785
187,ltr,-0.7231481075286865,-4.926614761352539,-4.4232025146484375
188,ltr,-0.7428973913192749,-4.802177429199219,-4.266772747039795
189,ltr,-0.7184423208236694,-4.966079711914063,-4.480102062225342
190,ltr,-0.7249362468719482,-4.922170639038086,-4.431756973266602
191,ltr,-0.7468205690383911,-4.773826122283936,-4.262353897094727
192,ltr,-0.728874921798706,-4.893943786621094,-4.390312194824219
193,ltr,-0.7584134340286255,-4.699475288391113,-4.155712604522705
